Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.1,
Horizontal Delay,0,
Sample Interval,0.001,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.5
Vertical Position,0,0
,,
,,
,,
Label,,
TIME,CH1,CH2
-5.00e-01,2.88,0.5
-4.99e-01,2.8,0.5
-4.98e-01,2.72,0.5
-4.97e-01,2.8,0.52
-4.96e-01,2.72,0.52
-4.95e-01,2.8,0.52
-4.94e-01,2.72,0.54
-4.93e-01,2.64,0.52
-4.92e-01,2.64,0.5
-4.91e-01,2.64,0.52
-4.90e-01,2.56,0.52
-4.89e-01,2.56,0.5
-4.88e-01,2.56,0.5
-4.87e-01,2.56,0.48
-4.86e-01,2.56,0.46
-4.85e-01,2.48,0.44
-4.84e-01,2.48,0.42
-4.83e-01,2.4,0.42
-4.82e-01,2.4,0.4
-4.81e-01,2.4,0.4
-4.80e-01,2.32,0.34
-4.79e-01,2.32,0.32
-4.78e-01,2.24,0.34
-4.77e-01,2.24,0.3
-4.76e-01,2.32,0.26
-4.75e-01,2.16,0.26
-4.74e-01,2.32,0.26
-4.73e-01,2.16,0.24
-4.72e-01,2.16,0.22
-4.71e-01,2.16,0.2
-4.70e-01,2.08,0.22
-4.69e-01,2.08,0.2
-4.68e-01,2.08,0.16
-4.67e-01,2.08,0.16
-4.66e-01,2,0.16
-4.65e-01,2,0.12
-4.64e-01,1.92,0.14
-4.63e-01,1.92,0.14
-4.62e-01,1.92,0.12
-4.61e-01,1.92,0.1
-4.60e-01,1.92,0.08
-4.59e-01,1.84,0.08
-4.58e-01,1.84,0.1
-4.57e-01,1.76,0.08
-4.56e-01,1.84,0.06
-4.55e-01,1.68,0.08
-4.54e-01,1.76,0.1
-4.53e-01,1.68,0.1
-4.52e-01,1.68,0.08
-4.51e-01,1.6,0.1
-4.50e-01,1.6,0.08
-4.49e-01,1.6,0.1
-4.48e-01,1.52,0.14
-4.47e-01,1.52,0.12
-4.46e-01,1.52,0.12
-4.45e-01,1.44,0.16
-4.44e-01,1.44,0.16
-4.43e-01,1.52,0.2
-4.42e-01,1.36,0.2
-4.41e-01,1.36,0.22
-4.40e-01,1.36,0.22
-4.39e-01,1.36,0.24
-4.38e-01,1.36,0.26
-4.37e-01,1.28,0.28
-4.36e-01,1.28,0.26
-4.35e-01,1.2,0.28
-4.34e-01,1.2,0.28
-4.33e-01,1.2,0.32
-4.32e-01,1.2,0.32
-4.31e-01,1.2,0.32
-4.30e-01,1.12,0.36
-4.29e-01,1.04,0.38
-4.28e-01,1.04,0.4
-4.27e-01,1.04,0.4
-4.26e-01,1.04,0.42
-4.25e-01,0.96,0.42
-4.24e-01,0.96,0.44
-4.23e-01,0.96,0.44
-4.22e-01,0.88,0.48
-4.21e-01,0.96,0.48
-4.20e-01,0.8,0.52
-4.19e-01,0.8,0.48
-4.18e-01,0.88,0.5
-4.17e-01,0.8,0.52
-4.16e-01,0.8,0.52
-4.15e-01,0.72,0.52
-4.14e-01,0.72,0.54
-4.13e-01,0.72,0.52
